Bibliotek|Alternativt biblioteksnamn|Sigel|Bibliotekstyp|Gatuadress|Postnummer|Ort|Besöksadress|Latitud|Longitud|Län|Kommunkod|Telefonnummer|E-post|Webbadress|Geocode
Örebro läns museum||Olm|musbib|Box 314|701 46|Örebro|Kaserngården 6|59.281282|15.23365|T|1880|0196028756|katarina.fexfritz@orebrolansmuseum.se|http://www.orebrolansmuseum.se|Kaserngården 6, 701 46, Örebro, Sweden
LIBRIS (mängduppdateringar och test)|LIBRIS|SEK|univbib|Box 5039|102 41|Stockholm|Biblioteksgatan 29|12|143|AB|0180|084634433|libris@kb.se|http://www.kb.se/libris|Biblioteksgatan 29, 102 41, Stockholm, Sweden
Länssjukhuset Ryhov||Mbj|sjukbib|Länssjukhuset Ryhov|551 85|Jönköping||0|0|F|0680|036322491|biblioteket.jonkoping@rjl.se|http://www.rjl.se/bibliotek|Länssjukhuset Ryhov, 551 85, Jönköping, Sweden
Funäsdalens bibliotek||Funa|folkbib|Box 74|840 95|Funäsdalen|Skolbacken 1|62.5456482|12.548427|Z|2361|068416769|biblioteket.funasdalen@herjedalen.se|http://www.herjedalen.se|Skolbacken 1, 840 95, Funäsdalen, Sweden
Veterinärmedicinska högskolan||3Ek||Box 6|115 81|Helsingfors||0|0|||3583931751||http://|Veterinärmedicinska högskolan, 115 81, Helsingfors, Finland
Lantbruksbiblioteket vid Helsingfors universitet||3Ha||Box 27|111 14|Helsingfors||0|0|||358919158026||http://|Lantbruksbiblioteket vid Helsingfors universitet, 111 14, Helsingfors, Finland
Jaakko Pöyry Oy||3Jp||Box 4|SF-01621|Vanda||0|0|||3589089471|general.jp@poyry.fi|http://www.poyry.com/en/index.html|Jaakko Pöyry Oy, SF-01621, Vanda, Finland
Villmanstrands tekniska universitet|Lappeenranta University of Technology|3L||Box 20|53851|Villmanstrand|Skinnarilankatu 34|0|0|||+358408372508|kaukopalvelu@lut.fi|http://www.lut.fi/fi/kirjasto|Skinnarilankatu 34, 53851, Villmanstrand, Finland
Lantbrukets forskningscentral||3Mk||Tietotie|SF-31600|Jokioinen|Tietotie|0|0|||35831641881|kirjasto@mtt.fi|http://www.mtt.fi/yleis/kirjasto_eng.html|Tietotie, SF-31600, Jokioinen, Finland
Uleåborgs universitet||3Ol||Kajanagatan 52 A|90220|Uleåborg|Kajanagatan 52 A|0|0|||358815375146|ltk.kaukopalvelu@oulu.fi|http://www.kirjasto.oulu.fi/|Kajanagatan 52 A, 90220, Uleåborg, Finland
Outokumpu Research Oy|Outokumpu Research AB|3Ou||Box 60|SF-28101|Björneborg||0|0|||3583826111|marja.vasku@outokumpu.fi|http://www.outokumpu.fi/index.htm|Outokumpu Research Oy, SF-28101, Björneborg, Finland
Åbo universitet||3Tl||Kinakvarnsgatan 10|20520|Åbo|Kinakvarnsgatan 10|0|0|||35823337533|tylabo@utu.fi|http://kirjasto.utu.fi/|Kinakvarnsgatan 10, 20520, Åbo, Finland
Tammerfors tekniska högskola||3Tt||Box 537|331 01|Tammerfors||61.450064|23.861299|||358331153133|kaukopalvelu@tut.fi|http://www.tut.fi/public/|Tammerfors tekniska högskola, 331 01, Tammerfors, Finland
Institutet för arbetshygien||3Ty||Topeliusgatan 41 A|SF-00250|Helsingfors|Topeliusgatan 41 A|0|0|||3584747382|kaukopalvelu@ttl.fi|http://www.occuphealth.fi/internet/svenska/|Topeliusgatan 41 A, SF-00250, Helsingfors, Finland
Aker sykehus||5Aks||Trondheimsveien 235|N-0514|Oslo|Trondheimsveien 235|0|0|||472894727|biblioteket@aker-sykehus.no|http://aker-sykehus.no/Biblioteket/|Trondheimsveien 235, N-0514, Oslo, Norway
Høgskolen i Agder|Högskolan i Agder|5Gim||Serviceboks 422|4604|Kristiansand|Gimlemoen, Jacob Aalls hus, D 1|0|0|||4738141600|bibkris@hia.no|http://www.hia.no/hiabib/|Gimlemoen, Jacob Aalls hus, D 1, 4604, Kristiansand, Norway
Institutt for energiteknikk||5Ien||Postboks 40|N-2027|Kjeller|Instituttveien 18|0|0|||4763806061|bibl@ife.no|http://www.ife.no/|Instituttveien 18, N-2027, Kjeller, Norway
Nationalbibliografiska biblioteket i Rana||5Nbr||Postboks 278|8601|Mo||0|0|||4775121165||http://|Postboks 278, 8601, Mo, Norway
Norsk institutt for skog og landskap||5Nis||Postboks 115|NO-1431|Ås|Høgskoleveien 8|0|0|||4764948984|bibliotek@skogoglandskap.no|http://www.skogoglandskap.no/|Høgskoleveien 8, NO-1431, Ås, Norway
Norges vassdrags- og energidirektorat||5Nve||Postboks 5091\nMajorstua|N-0301|Oslo|Middelthunsgate 29|0|0|||4722959036|biblioteket@nve.no|http://|Middelthunsgate 29, N-0301, Oslo, Norway
Norges veterinærhøgskole|Norges veterinärhögskola|5Nvh||Postboks 8146 Dep|1133|Oslo||0|0|||4722964555|biblioteket@veths.no|http://www.veths.no/index.asp?page=top%5Fmenu%5Fid%3D8343|Postboks 8146 Dep, 1133, Oslo, Norway
Universitetsbiblioteket i Oslo||5Odo||Avd. Geitmyrsveien\nPostboks 1109 Blindern|N-0317|Oslo||0|0|||4722852066||http://|Avd. Geitmyrsveien\nPostboks 1109 Blindern, N-0317, Oslo, Norway
Universitetsbiblioteket i Oslo||5Ubo|||0242|Oslo||0|0|||4722859012||http://|Universitetsbiblioteket i Oslo, 0242, Oslo, Norway
Universitetsbiblioteket i Bergen||5Ubp||Postboks 7808|N-5020|Bergen|Jonas Lies vei 91|0|0|||4755586677|ubbmed@ub.uib.no|http://www.ub.uib.no/avdeling/med/index.htm|Jonas Lies vei 91, N-5020, Bergen, Norway
Ullevål sykehus||5Ull|||N-0407|Oslo|Kirkeveien 166|0|0|||4722119495||http://www.usmedbib.uio.no/|Kirkeveien 166, N-0407, Oslo, Norway
Universitetsbiblioteket i Trondheim||5Ut1||Bjørnsons gate 12|7055|Dragvoll|Bjørnsons gate 12|0|0|||4773596303||http://|Bjørnsons gate 12, 7055, Dragvoll, Norway
Universitetsbiblioteket i Trondheim||5Ut2||Erling Skakkes gate 47 C|7044|Trondheim|Erling Skakkes gate 47 C|0|0|||4773592205|gunnbib@ub.ntnu.no|http://www.ub.ntnu.no/fakbib/gunnerus/|Erling Skakkes gate 47 C, 7044, Trondheim, Norway
Universitetsbiblioteket i Trondheim||5Ut3||Håkon Magnussons gate 1 B|7055|Dragvoll|Håkon Magnussons gate 1 B|0|0|||4773591760||http://|Håkon Magnussons gate 1 B, 7055, Dragvoll, Norway
Det norske Veritas Classification||5Ver||Postboks 300|N-1322|Hövik||0|0|||4767579447|library@dnv.com|http://www.dnv.com/|Postboks 300, N-1322, Hövik, Norway
Apoteksbolaget AB||Acl|busbib|Biblioteket|141 75|Stockholm||0|0|AB|0180|084547113|||Biblioteket, 141 75, Stockholm, Sweden
Östasiatiska Museet||Aom|musbib|Box 16381|103 27|Stockholm||0|0|AB|0180|010-4561242|biblioteket@ostasiatiska.se|http://webbsok.mikromarc.se/Mikromarc3/web/default.aspx?Unit=6473&db=smvk|Östasiatiska Museet, 103 27, Stockholm, Sweden
Fiskeriverket||Fi|specbib|Box 423|401 26|Göteborg|Ekelundsgatan 1|0|0|O|1480|0317430300|bibliotek@fiskeriverket.se|http://www.fiskeriverket.se|Ekelundsgatan 1, 401 26, Göteborg, Sweden
Luleå gymnasiebibliotek||Herm|gymbib|Storgatan 4|972 38|Luleå||65.58259289999999|22.1398526|BD|2580|0920455744|gymnasiebiblioteket@skol.lulea.se|http://www.lulea.se/utbildning--forskola/gymnasieskola/lulea-gymnasieby/bibliotek.html|Storgatan 4, 972 38, Luleå, Sweden
Önnestads folkhögskola||Krio|skolbib|Byagatan 30 |291 73|Önnestad|Byagatan 30 |0|0|LM||0447850193|dustin.anderson.onnestad@folkbildning.net|http://www.onne.se/|Byagatan 30 , 291 73, Önnestad, Sweden
Handelshögskolan i Stockholm||Shaj|univbib|Box 6501|113 83|Stockholm||0|0|AB|0180|087369262||http://|Handelshögskolan i Stockholm, 113 83, Stockholm, Sweden
Svenska läkaresällskapet||Sls|univbib|Box 738|101 35|Stockholm||0|0|AB|0180|08243350||http://|Svenska läkaresällskapet, 101 35, Stockholm, Sweden
Universitetsbiblioteket i Agder|Universitetsbiblioteket i Agder|5Gri|| Postboks 509|4898|Grimstad|Jon Lilletuns vei 9|0|0|||4737253310|bibgrim@uia.no|http://www.uia.no/uba/|Jon Lilletuns vei 9, 4898, Grimstad, Norway
Mariehamns stadsbibliotek||3Al||PB 76|AX-22101|Mariehamn||0|0|||35818531411|biblioteket@mariehamn.ax|http://www.bibliotek.ax/|PB 76, AX-22101, Mariehamn, Finland
Ferring Pharmaceuticals A/S||2Ferr||Kay Fiskers Plads 11|DK 2300|Copenhagen S|Kay Fiskers Plads 11|0|0|||4528787203|infocenter@ferring.com|http://www.ferring.com|Kay Fiskers Plads 11, DK 2300, Copenhagen S, Denmark
Aarhus tekniske bibliotek|Århus tekniske bibliotek|2Atb||Dalgas Avenue 2|8000|Århus|Dalgas Avenue 2|0|0|||4587302730|atb@atb.dk|http://www.atb.dk|Dalgas Avenue 2, 8000, Århus, Denmark
Bibliothèque Nordique||9Par||6, Rue Valette|75005|Paris|6, Rue Valette|0|0|||33144417950|bsgnord@univ-paris1.fr|http://www-bsg.univ-paris1.fr/nordique/home.htm|6, Rue Valette, 75005, Paris, France
Arbejdstilsynets Bibliotek||2Arb||Landskronegade 33-35|DK-2100|Köpenhamn|Landskronegade 33-35|0|0|||4531180088|bib@arbejdstilsynet.dk|http://|Landskronegade 33-35, DK-2100, Köpenhamn, Denmark
Arbejdsmiljøinstitutet|Arbetsmiljöinstitutet|2Arm||Lersø Parkallé 105|2100|Köpenhamn|Lersø Parkallé 105|0|0|||4539299711||http://|Lersø Parkallé 105, 2100, Köpenhamn, Denmark
Ålborg Universitetsbibliotek|Aalborg Universitetsbibliotek|2Aub||Box 8200|DK-9220|Ålborg||57.020715|9.977646|||4599409400|fjernlaan@aub.aau.dk||Ålborg Universitetsbibliotek, DK-9220, Ålborg, Denmark
Ålborg Universitetsbibliotek|Aalborg Universitetsbibliotek Esbjerg; AUB Esbjerg|2Aue||Niels Bohrs Vej 8|DK-6700|Esbjerg|Niels Bohrs Vej 8|0|0|||+45 9940 7649|aube@aub.aau.dk|http://www.aub.aau.dk/|Niels Bohrs Vej 8, DK-6700, Esbjerg, Denmark
Carlsberg Forskningscenter||2Cal||Gamle Carlsberg Vej 10|2500|Valby|Gamle Carlsberg Vej 10|0|0|||4533275204|emj@crc.dk|http://|Gamle Carlsberg Vej 10, 2500, Valby, Denmark
Dansk Biblioteks Center A/S||2Dbc||Tempovej 7-11|2750|Ballerup||0|0|||4544867777||http://|Tempovej 7-11, 2750, Ballerup, Denmark
CVU Nordjylland, Biblioteket||2Dpa||Mylius Erichsens Vej 131|921 00|Aalborg Sö||0|0|||4598145300|biblioteket@aalsem.dk|http://cvunbib.aalsem.dk|Mylius Erichsens Vej 131, 921 00, Aalborg Sö, Denmark
Danmarks pædagogiske bibliotek|Danmarks pedagogiska bibliotek|2Dpb||Box 840|DK-2400|Köpenhamn Nv|Tuborgvej 164|55.721334|12.54437|||4588889306|doklev@dpu.dk|http://www.dpb.dpu.dk/|Tuborgvej 164, DK-2400, Köpenhamn Nv, Denmark
CVU Fyn - biblioteket||2Dpo||Asylgade 7-9|5000|Odense C|Asylgade 7-9|0|0|||4563183710|bib-oas@ucl.dk|http://www.ucl.dk/biblioteket|Asylgade 7-9, 5000, Odense C, Denmark
Danmarks pædagogiske bibliotek|Danmarks pedagogiska bibliotek|2Dps||Dalagas Allé 20|780 00|Skive|Dalagas Allé 20|0|0|||4597523747|ppf@cvumidtvest.dk|http://www.cvumidtvest.dk/bib/ppf.htm|Dalagas Allé 20, 780 00, Skive, Denmark
Danmarks pædagogiske bibliotek|Danmarks pedagogiska bibliotek|2Dpv||Rudolfgårosvej 1|826 00|Viby J|Rudolfgårosvej 1|0|0|||4587388313|tli@dpu.dk|http://www.dpb.dpu.dk/aarhus/start.html|Rudolfgårosvej 1, 826 00, Viby J, Denmark
Danmarks Tekniske Informationscenter||2Dt1||P.O Box 777|2800|Lyngby|Anker Engelunds vej 1|0|0|||4545257415|indlaan@dtic.dtu.dk|http://www.dtic.dtu.dk/Default.aspx|Anker Engelunds vej 1, 2800, Lyngby, Denmark
Danmarks tekniske videncenter||2Dt2||P.O. Box 777|2800|Lyngby||0|0|||45257355||http://|P.O. Box 777, 2800, Lyngby, Denmark
Danmarks tekniske videncenter og bibliotek||2Dtb||Anker Engelundsvej 1|2800|Lyngby|Anker Engelundsvej 1|0|0|||45883088||http://|Anker Engelundsvej 1, 2800, Lyngby, Denmark
Geocenter København||2Geu||Øster Voldgade 10|1350|Köbenhavn K|Øster Voldgade 10|0|0|||4538142571|bibliotek@geus.dk|http://www.vl.dnlb.dk/vis_side.php?VL=123&side=188|Øster Voldgade 10, 1350, Köbenhavn K, Denmark
Glostrup Bibliotek||2Glo||Kildeväldets Alle 5|2600|Glostrup|Kildeväldets Alle 5|0|0|||4543236820|voudl@glostrupbib.dk|http://www.glostrupbib.dk|Kildeväldets Alle 5, 2600, Glostrup, Denmark
CBS Bibliotek|Copenhagen Business School|2Hbk||Solbjerg Plads 3|DK-2000|Frederiksberg|Solbjerg Plads 3|0|0|||4538153815|ekstern.lib@cbs.dk|http://www.cbs.dk/library|Solbjerg Plads 3, DK-2000, Frederiksberg, Denmark
Handelshøjskolen i Århus|Handelshögskolan i Århus|2Hba||Fuglesangs Allé 4|DK-8210|Århus V|Fuglesangs Allé 4|0|0|||4589486520|fjern@asb.dk|http://www.lib.asb.dk|Fuglesangs Allé 4, DK-8210, Århus V, Denmark
Hjørring bibliotek|Hjörring bibliotek|2Hjö||Postboks 79|9800|Hjörring||0|0|||4599232220|post@hjbib.dk|http://www.hjbib.dk/1/hjoerring_bibliotek.asp|Postboks 79, 9800, Hjörring, Denmark
Det Kongelige Bibliotek||2K||Postboks 2149|1016|Köpenhamn K|Søren Kierkegaards Plads 1|0|0|||4533474747|kb@kb.dk|http://www.kb.dk/|Søren Kierkegaards Plads 1, 1016, Köpenhamn K, Denmark
KVINFO||2Kvi||Christians Brygge 3|DK-1219|Köpenhamn K|Chr. Brygge 3|0|0|||4533135088||http://www.kvinfo.dk/|Chr. Brygge 3, DK-1219, Köpenhamn K, Denmark
Københavns Universitetsbibliotek Frederiksberg|Veterinär- og jordbrugsbiblioteket|2L||Dyrlægevej 10|DK-1870|Fredriksberg C.|Dyrlægevej 10|0|0|||4535332145|bibservice@science.ku.dk|http://www.bibliotek.science.ku.dk/|Dyrlægevej 10, DK-1870, Fredriksberg C., Denmark
Nordisk Institut for Asienstudier||2Nia||Leifsgade 33|DK-2300|Köpenhamn S|Leifsgade 33|0|0|||4535329510|bib@nias.ku.dk|http://www.niaslinc.dk|Leifsgade 33, DK-2300, Köpenhamn S, Denmark
Aalborg Bibliotekerne||2Njl||Box 839|DK-9100|Aalborg|Rendsburggade 2|0|0|||4599314300|kvittering@aalborg.dk|http://www.aalborgbibliotekerne.dk/|Rendsburggade 2, DK-9100, Aalborg, Denmark
Odense Centralbibliotek||2Ocb||Østre Stationsvej 15Fjernlånet|5000|Odense|Østre Stationsvej 15|0|0|||45655144479|fjernlaan-bib@odense.dk|http://www.odensebib.dk/|Østre Stationsvej 15, 5000, Odense, Denmark
Syddansk Universitetsbibliotek||2Ou||IndlånetCampusvej 55|DK-5230|Odense M|Campusvej 55|55.368771|10.428686|||4565502646|retur@bib.sdu.dk|http://www.bib.sdu.dk/|Campusvej 55, DK-5230, Odense M, Denmark
Roskilde Universitetsbibliotek||2Ru||Universitetsvej 1|DK-4000|Roskilde||0|0|||4546742237|fjernlaan@ruc.dk|http://www.rub.ruc.dk/|Universitetsvej 1, DK-4000, Roskilde, Denmark
Statsbiblioteket i Århus||2Sb||Victor Albecks Vej 1|8000|Århus C||0|0|||4589462022|udlaan@statsbiblioteket.dk|http://statsbiblioteket.dk|Victor Albecks Vej 1, 8000, Århus C, Denmark
Statsbiblioteket||2Sb1||Victor Albecks Vej 1|8000|Århus C|Victor Albecks Vej 1|0|0|||4589462055|sb@statsbiblioteket.dk|http://www.statsbiblioteket.dk/|Victor Albecks Vej 1, 8000, Århus C, Denmark
DANISCO A/S||2Ssa||Edwin Rahrsvej 38|8220|Brabrand|Edwin Rahrsvej 38|0|0|||4589435101|g8bkc@danisco.com|http://|Edwin Rahrsvej 38, 8220, Brabrand, Denmark
Danmarks Natur- og Lægevidenskabelige Bibliotek||2U2||Nørre allé 49|DK-2200|Köbenhavn N|Nørre allé 49|0|0|||451396523|dnlb@dnlb.dk|http://www.dnlb.dk/|Nørre allé 49, DK-2200, Köbenhavn N, Denmark
Københavns Universitet, Amager||2Ula||Njalsgade 80|DK-2300|København S||0|0|||451130875|ami@hum.ku.dk|http://|Njalsgade 80, DK-2300, København S, Denmark
Videncenter för Synshandicap||2Vfs||Rymarksvej 1|290 00|Hellerup|Rymarksvej 1|0|0|||4539403100||http://|Rymarksvej 1, 290 00, Hellerup, Denmark
Århus kommunes biblioteker||2Akb||Møllegade 1|8000|Århus C|Møllegade 1|0|0|||4589409200|vip@bib.aarhus.dk|http://www.aakb.dk/|Møllegade 1, 8000, Århus C, Denmark
Riksdagsbiblioteket i Finland||3E||Auroragatan 6 |FI--00102|Helsingfors|Auroragatan 6|0|0|||35894323450|biblioteket.fjarrlan@riksdagen.fi|http://www.eduskunta.fi/kirjasto|Auroragatan 6, FI--00102, Helsingfors, Finland
Esbo stadsbibliotek||3Em||Box 3612|02070|Esbo Stad|Albergagatan 9|0|0|||358981657648|kaukopalvelu@espoo.fi|http://www.esbo.fi/bibliotek|Albergagatan 9, 02070, Esbo Stad, Finland
Nationalbiblioteket||3H||Box 15 (Unionsg 36)|SF-00014|Helsingfors|Unionsgatan 36|0|0|||358919122664|kk-kaukopalvelu@helsinki.fi|http://www.lib.helsinki.fi/|Unionsgatan 36, SF-00014, Helsingfors, Finland
Helsingfors universitets bibliotek||3H4||Fjärrlån\nPB 62 (Viksbågen 11 A)|SF-00014|Helsingfors|Viikinkaari 11 A|0|0|||358919158026|viikki-lib@helsinki.fi|http://www.helsinki.fi/bibliotek/vik/|Viikinkaari 11 A, SF-00014, Helsingfors, Finland
Helsingfors stadsbibliotek||3He||Box 4100|00099|Helsingfors Stad|Järnvägsmannag. 8 Helsingfors 52|0|0|||358931085433|ill@hel.fi|http://www.lib.hel.fi/|Järnvägsmannag. 8 Helsingfors 52, 00099, Helsingfors Stad, Finland
Helsingfors universitet||3Hf||PB 24 (Unionsgatan 40 B)|SF-00014|Helsingfors Univ.||0|0|||3581917614||http://|PB 24 (Unionsgatan 40 B), SF-00014, Helsingfors Univ., Finland
Helsingfors universitets bibliotek||3Hl||PB 61 (Haartmansgatan 4)|00014|Helsingfors universitet / FINLAND|Haartmansgatan 4|0|0|||+358-2941-26665|terkko-info@helsinki.fi|http://www.helsinki.fi/kirjasto/sv/biblioteksenheter/campusbiblioteket-terkko-i-mejlans/|Haartmansgatan 4, 00014, Helsingfors universitet / FINLAND, Finland
University of Helsinki||3Huu||Hämeentie 153 b|SF-00560|Helsingfors|Hämeentie 153 b|0|0|||3589708476||http://|Hämeentie 153 b, SF-00560, Helsingfors, Finland
Jyväskylä universitetsbibliotek||3J||Box 35 (B 124)|FI-40014|University of Jyväskylä||0|0|||358142603442|kaukopal@library.jyu.fi|https://kirjasto.jyu.fi/|Jyväskylä universitetsbibliotek, FI-40014, University of Jyväskylä, Finland
University of Eastern Finland (UEF)||3Jo||P O Box 107|FI-80101|Joensuu|Yliopistokatu 4|0|0|||358504101901|joekauko@uef.fi|http://www.uef.fi/kirjasto|Yliopistokatu 4, FI-80101, Joensuu, Finland
University of Eastern Finland (UEF)||3Ku||P.O.Box 1627|70211|Kuopio|Yliopistonranta 1 E|0|0|||35817163408|kuokauko@uef.fi|http://www.uku.fi/kirjasto|Yliopistonranta 1 E, 70211, Kuopio, Finland
Lahden korkeakoulukirjasto||3Lak||Vapaudenkatu 23|151 40|Lahti|Vapaudenkatu 23|0|0|||35838125420|tiedekirjasto@lahti.fi|http://www.lahdentiedekirjasto.fi|Vapaudenkatu 23, 151 40, Lahti, Finland
Lapplands universitetsbibliotek||3Lap||Box 8123|96101|Rovaniemi||0|0|||3589316341341|kaukopal@ulapland.fi|http://www.ulapland.fi/?deptid=8073|Lapplands universitetsbibliotek, 96101, Rovaniemi, Finland
Nokia Research Center||3Nok||P O Box 407|FIN-00045|Nokia Group||0|0|||35843766630||http://|P O Box 407, FIN-00045, Nokia Group, Finland
Uleåborgs universitetsbiblioteket||3O||Box 7500|FIN-90014|Oulu University||65.059248|25.46633|||358085533503|kirjasto.kaukopalvelu@oulu.fi|http://www.kirjasto.oulu.fi/|Uleåborgs universitetsbiblioteket, FIN-90014, Oulu University, Finland
Uleåborg stadsbibliotek||3Om||Box 133|901 01|Uleåborg||0|0|||3588314730|city.library@ouka.fi|http://oulu.ouka.fi/kirjasto/index.asp|Uleåborg stadsbibliotek, 901 01, Uleåborg, Finland
Aalto-universitetets bibliotek, Otnäs||3P||PB 17000|00076|Aalto|Otsvängen 1 X, Esbo|60.169418|24.921611|||358503682772|kaukopalvelu@aalto.fi|http://lib.aalto.fi/|Otsvängen 1 X, Esbo, 00076, Aalto, Finland
Åbo universitetsbibliotek||3T|||FI-20014|Åbo Universitet||0|0|||35823336179|kaukopalvelu@utu.fi|http://kirjasto.utu.fi/|Åbo universitetsbibliotek, FI-20014, Åbo Universitet, Finland
Konstindustriella högskolan||3Ta||Tavastvägen 135 c|SF-00560|Helsingfors||0|0|||35875631|taik.kirjasto@uiah.fi|http://www2.uiah.fi/svensk.shtml|Tavastvägen 135 c, SF-00560, Helsingfors, Finland
Tammerfors stadsbibliotek||3Tam||Box 152|331 01|Tammerfors||0|0|||+3583565611|tampereen.kaupunginkirjasto@tampere.fi|http://kirjasto.tampere.fi/|Tammerfors stadsbibliotek, 331 01, Tammerfors, Finland
Tritonia - Vasa vetenskapliga bibliotek||3V||Postbox 331|FIN-65101|Vasa||0|0|||35863248228|kaukopalvelu@uwasa.fi|http://www.uwasa.fi/kirjasto/|Postbox 331, FIN-65101, Vasa, Finland
Vasa stadsbibliotek||3Vas||Box 235|651 01|Vasa||0|0|||35863253548|maakunta.kirjasto@vaasa.fi|http://lib.vaasa.fi/sivu/indexs.htm|Vasa stadsbibliotek, 651 01, Vasa, Finland
Finnish Environment Agency||3Vh||Po box 250|SF-00101|Helsingfors||0|0|||3586951367||http://|Po box 250, SF-00101, Helsingfors, Finland
VTT Technical Research Centre of Finland|VTT Informationstjänst|3Vtt||PB 1000, Tekniikantie 4A|02044|Vtt|Tekniikantie 4A|0|0|||358207224430|Libraryservices@vtt.fi|http://www.vtt.fi/|Tekniikantie 4A, 02044, Vtt, Finland
Tammerfors Universitetsbibliotek||3Y||Fack 617|SF-33101|Tammerfors|Yliopistonkatu 38|0|0|||35832156111|ykauko@uta.fi|http://www.uta.fi/laitokset/kirjasto|Yliopistonkatu 38, SF-33101, Tammerfors, Finland
Tammerfors Universitetsbibliotek||3Yl|||FIN-33014|Tammerfors Univers||0|0|||358401904240|ylkauko@uta.fi|http://www.uta.fi/kirjasto/en/tertio/index.html|Tammerfors Universitetsbibliotek, FIN-33014, Tammerfors Univers, Finland
Åbo akademis bibliotek||3A||Domkyrkogatan 2-4|FIN-20500|Åbo||0|0|||35822154299|ill@abo.fi|http://www.abo.fi/library|Domkyrkogatan 2-4, FIN-20500, Åbo, Finland
Åbo Universitetsbibliotek||3Aub|||SF-20520|Åbo||0|0|||35802328621||http://|Åbo Universitetsbibliotek, SF-20520, Åbo, Finland
Handelshøyskolen BI||5Bi|||N-0442|Oslo||0|0|||+47 46 41 02 50|biblioteket@bi.no|http://www.bi.no/library|Handelshøyskolen BI, N-0442, Oslo, Norway
Buskerud Fylkesbibliotek||5Bus||Postboks 3554|N-3007|Drammen|Grønland 58|0|0|||4732045482|hakon.knappen@bfk.no|http://buskerud.fylkesbibl.no|Grønland 58, N-3007, Drammen, Norway
Bergen ressurssenter for internasjonal utvikling||5Brc||Postboks 6033 Postterminalen|5892|Bergen|Jekteviksbakken 31|0|0|||4747938100|mail@resourcecentre.no|http://www.resourcecentre.no/|Jekteviksbakken 31, 5892, Bergen, Norway
Universitetsbiblioteket i Agder||5Hia||Postboks 422|4604|Kristiansand|GIMLEMOEN 25D|0|0|||4738141600|bibkris@uia.no|http://www.uia.no/no/portaler/bibliotek|GIMLEMOEN 25D, 4604, Kristiansand, Norway
Høgskolen i Lillehammer|Högskolan i Lillehammer|5Hil||Boks 952|2604|Lillehammer|Gudbrandsdalsveien 350|0|0|||4761288113|bibliotek@hil.no|http://www.hil.no/biblioteket|Gudbrandsdalsveien 350, 2604, Lillehammer, Norway
Universitetsbiblioteket i Stavanger||5His||Ullandhaug|4036|Stavanger|Kristine Bonnevies vei 30|0|0|||4751831100|ub@uis.no|http://www.uis.no/ub|Kristine Bonnevies vei 30, 4036, Stavanger, Norway
Norges idrettshøgskole|Norges idrottshögskola|5Idr||Postboks 4014\nUllevål Hageby|0806|Oslo||0|0|||4722185644|library@nih.no|http://www.nih.no/|Postboks 4014\nUllevål Hageby, 0806, Oslo, Norway
Infoteket||5Inf||Gaustadallen 21|0371|Oslo|Gaustadallen 21|0|0|||4722958610||http://|Gaustadallen 21, 0371, Oslo, Norway
Norges Bank||5Nba||Postboks 1179\nSentrum|0107|Oslo||0|0|||4722316285|biblioteket@norges-bank.no|http://www.norges-bank.no/biblioteket/om.html|Postboks 1179\nSentrum, 0107, Oslo, Norway
Nasjonalgalleriet for kunst, arkitektur og design||5Nga||Postboks 7014 St. Olavs plass|N-0130|Oslo|St. Olavs plass|0|0|||4721982000|biblioteket@nasjonalmuseet.no|http://www.museumsnett.no/nasjonalgalleriet/flash_versjon_norsk/biblioteket.htm|St. Olavs plass, N-0130, Oslo, Norway
Norges Handelshøyskole|Norges handelshögskola|5Nhh||Helleveien 30|N-5045|Bergen|Helleveien 30|0|0|||4755959411|bib.postmottak@nhh.no|http://www.nhh.no/bib|Helleveien 30, N-5045, Bergen, Norway
Universitetsbiblioteket for miljø- og biovitenskap|NMBU Universitetsbiblioteket|5Nlh||PB 5003|N-1432|Ås|Tårnbygningen|0|0|||4764965500|biblioteket@nmbu.no|http://www.umb.no/biblioteket/|Tårnbygningen, N-1432, Ås, Norway
Norges markedshøgskole|Norges markedshögskola|5Nmh||Pb 4676 Sofienberg|N-0506|Oslo 5||0|0|||472115560||http://|Pb 4676 Sofienberg, N-0506, Oslo 5, Norway
Universitetsbiblioteket i Trondheim||5Ntd|||N-7491|Trondheim|Høgskoleringen 1|63.419302|10.401928|||4773595100|fjernlan@ub.ntnu.no|http://www.ub.ntnu.no/|Høgskoleringen 1, N-7491, Trondheim, Norway
Nycomed Imaging||5Nyc||Box 4220, Torshov|N-0401|Oslo||0|0|||4722891582||http://|Nycomed Imaging, N-0401, Oslo, Norway
Universitetsbiblioteket i Tromsø|Universitetsbiblioteket i Tromsö|5Psy||Teorifagbygget|9037|Tromsø|Teorifagbygget|0|0|||4777646780|pjutlan@ub.uit.no|http://www.ub.uit.no/fag/psykologi/|Teorifagbygget, 9037, Tromsø, Norway
Rikshospitalet - Radiumhospitalet HF Montebello||5Rad|||N-0310|Oslo|Ullernchauseen|0|0|||4722935961|medbibliotek@dnr.uio.no|http://|Ullernchauseen, N-0310, Oslo, Norway
Riksantikvarens bibliotek||5Rik||Postboks 8196 Dep|0034|Oslo|Dronningens gate 13|0|0|||4722940540|ra-bibl@ra.no|http://www.ra.no/riksantikvaren/biblioteket/|Dronningens gate 13, 0034, Oslo, Norway
